"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Artificial Intelligence-Based User Interaction Module for Autonomous Mobile Service Robots","C. B. Alcantara; A. O. Júnior; J. Costa; L. Ricken; A. Mendes; P. Leitao","Research Centre in Digitalization and Intelligent Robotics (CeDRI), Laboratório Associado para a Sustentabilidade e Tecnologia em Regiões de Montanha (SusTEC), Instituto Politécnico de Bragança, Bragança, Portugal; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Laboratório Associado para a Sustentabilidade e Tecnologia em Regiões de Montanha (SusTEC), Instituto Politécnico de Bragança, Bragança, Portugal; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Laboratório Associado para a Sustentabilidade e Tecnologia em Regiões de Montanha (SusTEC), Instituto Politécnico de Bragança, Bragança, Portugal; Federal University of Technology - Parana, Via Rosalina Maria Dos Santos, Parana, Brazil; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Laboratório Associado para a Sustentabilidade e Tecnologia em Regiões de Montanha (SusTEC), Instituto Politécnico de Bragança, Bragança, Portugal; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Laboratório Associado para a Sustentabilidade e Tecnologia em Regiões de Montanha (SusTEC), Instituto Politécnico de Bragança, Bragança, Portugal",2024 IEEE 3rd Industrial Electronics Society Annual On-Line Conference (ONCON),"25 Mar 2025","2024","","","1","6","With the evolution of Artificial Intelligence (AI) technologies, there is a growing demand for Intelligent Personal Assistants (IPAs) that allow fluid communication with humans. However, there are still several challenges to overcome, such as difficulty in understanding nuances in some contexts. Therefore, this study seeks to mitigate these gaps by presenting a modular and scalable architecture for integrating IPAs into autonomous service robots. The architecture allows communication between various robot systems and peripherals with AI mechanisms, including Large Language Model (LLM) and Natural Language Processing, which seek to improve the user experience. The proposed architecture was applied to developing a service robot designed to guide and interact with people in a university environment, incorporating the RASA framework with an LLM for natural language processing and response generation. The paper discusses the adopted technologies, the current state of development, the difficulties encountered, and the analysis of the first feedback from volunteers.","","979-8-3315-4031-9","10.1109/ONCON62778.2024.10931279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10931279","Service Robots;Artificial Intelligence;Human-Robot Interaction;Intelligent Personal Assistant","Industrial electronics;Fluids;Service robots;Large language models;Human-robot interaction;Natural language processing;User experience","","","","16","IEEE","25 Mar 2025","8-10 Dec. 2024","8-10 Dec. 2024","IEEE","IEEE Conferences"
"Adaptive Hypermedia Techniques for 3D Educational Virtual Environments","L. Chittaro; R. Ranon","University of Udine, Italy; University of Udine, Italy",IEEE Intelligent Systems,"13 Aug 2007","2007","22","4","31","37","Based on a well-known adaptive hypermedia framework, the proposed system creates a 3D educational virtual environment that selects and personalizes interactive learning content for users. In EVEs, users not only see concepts visualized, but they can perform tasks in a suitable fictional world or a real-world reproduction. Moreover, compared to 2D multimedia, using interactive 3D graphics lets developers create representations of subjects or phenomena that are more informative and make it possible for users to analyze a single subject from different viewpoints. In EVEs, adaptivity can play an important role in increasing both learning-process effectiveness and interface usability.","1941-1294","","10.1109/MIS.2007.63","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4287271","adaptive hypermedia;e-learning;educational virtual environments;3D virtual environments;personalization;X3D","Virtual environment;Navigation;Buildings;Graphics;Usability;Visualization;Performance analysis;Electronic learning;Adaptive systems;Software architecture","","19","","11","IEEE","13 Aug 2007","July-Aug. 2007","","IEEE","IEEE Magazines"
"NeoEduc: A Synchronous AI-Driven 3D Avatar Tutor for Middle-School Robotics","J. A. Sebastião; L. S. Figueiredo","Dept. de Computação, Universidade Federal Rural de Pernambuco, Recife, Brazil; Dept. de Computação, Universidade Federal Rural de Pernambuco, Recife, Brazil",2025 27th Symposium on Virtual and Augmented Reality (SVR),"21 Jan 2026","2025","","","222","231","Traditional education, particularly in hands-on subjects like robotics, often struggles to provide personalized, real-time student support due to teacher time constraints and students’ reluctance to seek help in a public setting. This paper introduces NeoEduc, an AI-driven tutoring platform that presents a 3D avatar for conversational guidance in a virtual robotics lab, allowing middle-school students to interact via voice or text and receive adaptive feedback tailored to their performance history. The solution integrates an adaptive large language model (LLM) back-end to offer scalable, engaging, and private pedagogical support. We evaluated the platform with middle school students (N =20) in a robotics learning environment, using standard usability and user experience questionnaires (SUS, UEQ-S, NPS), as well as qualitative analysis of interviews and observations. The results demonstrate high usability (mean SUS score of 78.0) and user satisfaction (NPS of +75). Qualitative findings revealed increases in student engagement and autonomy, a potential reduction in teacher workload, and a notable acceleration of task completion, particularly in a comparative experiment where the NeoEduc groups significantly outperformed the control groups. NeoEduc presents a framework for creating educational experiences that leverage AI and virtual environments. The system’s ability to be configured by teachers towards ethical and pedagogically aligned posture highlights its potential to scale adaptive and immersive learning while mitigating social pressures in the classroom.","2833-0609","979-8-3315-9630-9","10.1109/SVR67689.2025.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11338556","Intelligent tutoring;robotics education;virtual avatars;large language models","Three-dimensional displays;Adaptive systems;Navigation;Avatars;Large language models;Education;User experience;Usability;Interviews;Robots","","","","22","IEEE","21 Jan 2026","30 Sept.-3 Oct. 2025","30 Sept.-3 Oct. 2025","IEEE","IEEE Conferences"
"Resume Building Application based on LLM (Large Language Model)","R. J. Sunico; S. Pachchigar; V. Kumar; I. Shah; J. Wang; I. Song","SFSU, San Francisco, USA; SFSU, San Francisco, USA; SFSU, San Francisco, USA; SFSU, San Francisco, USA; SFSU, San Francisco, USA; SFSU, San Francisco, USA","2023 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)","15 Feb 2024","2023","","","486","492","Amid the highly competitive job market, creating an effective resume is vital but often difficult, particularly for students from underprivileged backgrounds with limited career development support. To mitigate this, we introduce a novel resume building application that employs the Large Language Model (LLM) to aid students in composing their first resumes. The application comprises three modules: Resume Generation, Resume Assessment, and User I/O. The Resume Generation module utilizes prompt engineering to produce resume bullet points, while the Resume Assessment module evaluates these bullet points for potential enhancements. The User I/O module simplifies user interaction by accepting free-style plain English as input and displaying the generated bullet points as suggestions. We have developed a prototype application that demonstrates the effectiveness of these functionalities while emphasizing ease-of-use. We have also confirmed that the content generated for resumes adheres to the benchmarks of high-quality standards. As future work, we aim to carry out usability testing with real students to further evaluate the application's utility in educational environments.","","979-8-3503-0611-8","10.1109/ICCCIS60361.2023.10425602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425602","resume building;prompt engineering;LLM (Large Language Model)","Engineering profession;Social networking (online);Resumes;Buildings;User interfaces;Usability;Standards","","7","","25","IEEE","15 Feb 2024","3-4 Nov. 2023","3-4 Nov. 2023","IEEE","IEEE Conferences"
"Engage Learn: An AI-Based English Proficiency Improviser","B. Jadhav; M. Jain; A. Jajoo; D. Kadam; H. Kadam; T. Kakkad","Department of Artificial Intelligence and Data Science, Vishwakarma Institute of Technology, Pune, India; Department of Artificial Intelligence and Data Science, Vishwakarma Institute of Technology, Pune, India; Department of Artificial Intelligence and Data Science, Vishwakarma Institute of Technology, Pune, India; Department of Artificial Intelligence and Data Science, Vishwakarma Institute of Technology, Pune, India; Department of Artificial Intelligence and Data Science, Vishwakarma Institute of Technology, Pune, India; Department of Artificial Intelligence and Data Science, Vishwakarma Institute of Technology, Pune, India",2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),"13 Feb 2025","2024","","","135","140","In this research, the new and highly effective Web-based English learning and teaching platform called Engage Learn is introduced with the main purpose of avoiding the mistakes of the traditional models and to help users gain the ability to write and speak English more effectively. Engage Learn employs a marked-defined approach, that involves the application of several advanced technologies. Generative models including ChatGPT 3.5 turbo and Gemini 1.5 flash get enhanced presence when trained using Retrieval-Augmented Generation (RAG) technique. First, the ability for users to speak English makes for an almost informal procedure when learning since the user and the computer are communicating with one another by use of words. In addition to this, targeted feedback modules make an assessment of the user's input and give an immediate-feedback of what is required in terms of improving a user's vocabulary, grammar, and fluency. It offers another learning approach since it presents the content in a manner that is suited more to the current ability level of the user and the usage of preferred learning objectives. Engage Learn also provides flexibility of use based on learning modes as encompassed by general conversation practice, focused grammar correction and vocabulary buildup. This paper reviews the system architecture, explaining features of the different parts of the system, including the speech recognition, LLM with RAG, output analyzing, and the feedback-giving modules on grammar, vocabulary, and reading preferences. Further the paper discusses the tuning of the LLMs in a carefully selected set for language acquisition. This fine-tuning makes sure that the LLMs shall have adequate capability and knowledge required so as to get a feel about how spoken English is and about the particular feedbacks that different user may require out of them. In the last section of the abstract, the planned evaluation methods are presented with the focus on the responsibility of user testing and data analysis for making sure that Engage Learn promotes language learning.","","979-8-3315-2963-5","10.1109/ICUIS64676.2024.10866819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10866819","Speech Recognition;Natural Language Processing;Large Language Models (LLMs);Retrieval-Augmented Generation (RAG)","Vocabulary;Reviews;Computational modeling;Systems architecture;Speech recognition;Ubiquitous computing;Grammar;Speech processing;Tuning;Testing","","","","6","IEEE","13 Feb 2025","12-13 Dec. 2024","12-13 Dec. 2024","IEEE","IEEE Conferences"
"Chatbot Personalities in Digital Learning: Integrating Characteristics that Support Learning to Enhance Learner Engagement","E. E. Abdul Rahim; A. Ismail","Department of Information Systems, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia (IIUM), Kuala Lumpur, Malaysia; Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia (IIUM), Kuala Lumpur, Malaysia",2025 10th International Conference on Information and Communication Technology for the Muslim World (ICT4M),"3 Feb 2026","2025","","","1","6","The integration of AI chatbots in digital learning has reshaped how students engage with content, instructors, and peers. However, limited research has explored how personality-driven chatbot designs can improve learning effectiveness and engagement. This study proposes an AI chatbot model incorporating five personality traits — empathy, humour, authoritativeness, peer-like collaboration, and adaptive flexibility — to create a more humanised and supportive learning experience. The chatbot will be developed using Natural Language Processing integrated with a Large Language Model to detect emotions, identify intent, and generate adaptive responses. A quasi-experimental study will be conducted with undergraduate students, comparing an experimental group (enhanced personality chatbot) and a control group (baseline chatbot without these traits). Learner engagement, motivation, and learning experience will be measured using validated instruments such as the Student Engagement Questionnaire, Instructional Materials Motivation Survey (IMMS), and an adapted USE Questionnaire. It is expected that the proposed model will improve student motivation, engagement, and satisfaction while offering insights into how emotionally intelligent AI can enhance personalised education. This research will contribute to human-centred educational AI and highlight the value of personality-driven chatbot design in creating trustworthy, empathetic, and effective learning technologies.","2996-8941","979-8-3315-7033-0","10.1109/ICT4M68001.2025.11363520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11363520","Educational chatbots;Artificial Intelligence;Large Language Model;learner engagement;learner motivation;learning experience","Surveys;Adaptation models;Large language models;Instruments;Education;Collaboration;Learning (artificial intelligence);Chatbots;Information and communication technology","","","","40","IEEE","3 Feb 2026","26-27 Nov. 2025","26-27 Nov. 2025","IEEE","IEEE Conferences"
"Challenges of Integrating LLMs Like ChatGPT with Enterprise Software and Solving it with Object Messaging and Intelligent Objects as a New Software Design Paradigm","M. Alibakhsh","Co- Founder & CEO, Xeba Technologies LLC, Atlanta, USA","2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)","9 Apr 2024","2023","","","313","317","The proliferation of AI tools, such as ChatGPT and other Large Language Models (LLMs), has raised expectations regarding their widespread adoption in the workplace. However, this paper delves into the limitations that hinder the deep integration of LLMs with existing software applications used in business environments. While LLMs excel in processing natural language, conventional software applications mostly communicate structured information in a rigid fashion. To bridge the gap between human usage of natural language and the structured data utilized by existing applications, communication tools such as email and Slack emerged. While these tools filled the void by accommodating the informality of chat-like interactions, they struggled to incorporate the applications' structured data. The prevalent form-based models employed by existing software applications present a fundamental obstacle for a meaningful AI integration. This paper examines the challenges of integrating LLMs with form-based software, shedding light on the associated complexities and introduces a new design paradigm, Object Messaging Model and Intelligent Objects (OMIO). By leveraging this model, natural language and structured data become logically combined while enabling seamless integration of LLM capabilities within the software application. This paper provides insights into the potential of the OMIO and paves the way for unlocking the transformative power of LLMs, resulting in highly enhanced productivity within the contemporary business landscape. The Object Messaging paradigm offers an elegant path for deep integration of LLMs and software applications with structured data, while optimizing communication among humans in the workplace producing humans and AI collective intelligence.","","979-8-3503-2759-5","10.1109/CSCE60160.2023.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10487510","AI;Object Messaging Design Paradigm;Intelligent Objects“ OMIO;ChatGPT;LLM;Communication;Business Applications;Collective Intelligence;Neural Nets;Optimizing Links;Deep AI Integration;AI Fusion","Productivity;Software design;Natural languages;Employment;Chatbots;Software;Data models","","2","","15","IEEE","9 Apr 2024","24-27 July 2023","24-27 July 2023","IEEE","IEEE Conferences"
"How LLMs Are Shaping the Future of Virtual Reality","S. Özkaya; S. Berrezueta-Guzman; S. Wagner","Chair of Software Engineering, Technical University of Munich, Heilbronn, Germany; Chair of Software Engineering, Technical University of Munich, Heilbronn, Germany; Chair of Software Engineering, Technical University of Munich, Heilbronn, Germany",IEEE Access,"20 Nov 2025","2025","13","","193335","193355","Integrating Large Language Models (LLMs) into Virtual Reality (VR) games marks a paradigm shift in the design of immersive, adaptive, and intelligent digital experiences. This paper presents a scoping review of recent research at the intersection of LLMs and VR, aiming to map current work, identify key applications, and highlight open challenges. We examine how LLMs transform non-player character (NPC) interactions, narrative generation, intelligent game mastering, personalization, and accessibility. Drawing from an analysis of 66 peer-reviewed studies published between 2018 and 2025, we outline major application domains—ranging from emotionally intelligent NPCs and procedurally generated storytelling to AI-driven adaptive systems and inclusive gameplay interfaces. We also discuss critical challenges facing this convergence, including real-time performance constraints, memory limitations, ethical risks, and scalability barriers. The findings suggest that while LLMs significantly enhance realism, creativity, and engagement in VR environments, their effective deployment requires robust design strategies integrating multimodal interaction, hybrid AI architectures, and ethical safeguards. The paper outlines future research directions in multimodal AI, affective computing, reinforcement learning, and open-source development, aiming to guide the responsible and inclusive advancement of intelligent VR systems.","2169-3536","","10.1109/ACCESS.2025.3631594","TUM Campus Heilbronn Incentive Fund 2024 of the Technical University of Munich, TUM Campus Heilbronn; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11240099","Accessibility;affective computing;AI game mastering;ethical AI;immersive games;large language models (LLMs);memory management;multimodal interaction;NPC interaction;personalized gameplay;procedural storytelling;real-time systems;virtual reality (VR)","Games;Solid modeling;Virtual reality;Three-dimensional displays;Ethics;Real-time systems;Convergence;Transformers;Memory management;Internet","","2","","93","CCBY","11 Nov 2025","2025","","IEEE","IEEE Journals"
"Multimodal Virtual Reality & Digital Twin-Based Training for Specialized Process Equipment in Biotech/Biopharma Manufacturing","M. Chandramouli; N. K. Nere; J. Shimpi; A. Williams","Computer Graphics Technology, Purdue University, Hammond, NW, USA; R&D Process Engineering, AbbVie Inc., North Chicago, USA; College of Technology, Purdue University, Hammond, NW, USA; College of Technology, Purdue University, Hammond, NW, USA",2025 International Conference on Intelligent Computing and Virtual & Augmented Reality Simulations (ICVARS),"17 Oct 2025","2025","","","66","71","This paper demonstrates the design and implementation of a multimodal VR framework for specialized process equipment training (SPE). We intend to accomplish this by designing a user-friendly Virtual Reality (VR) training framework for the manufacturing processes involving SPE. Specialized Process equipment and operational protocols within cGMP (Current Good Manufacturing Practice regulations) are complex and demand highly skilled and trained operators. This training framework integrates visual, auditory, and tactile elements in the virtual module to facilitate a highly engaging and interactive training experience; the framework also allows customization by the trainee to toggle between two modes as per their preferences: guided and non-guided. Operators trained using the current methods including in-class and computer-based trainings continue to struggle with some of the key process equipment operations causing batch failures resulting in significant loss of time and money. VR-based SPE training will remedy the exposed inadequacies of biotech and Biotech/ Biopharma (BT/BP) training processes causing continued operator errors and delaying essential products including life-saving drugs. The virtual reality modules are designed to offer synchronized visual and proprioceptive (spatial perception) response cues to foster motor skills for procedural learning, task retention, and skills transfer. The interactive training actively engages trainees to explore the connections between actions and outcomes, build schemas, and develop detailed, accurate mental models of the SPE manufacturing operations. The virtual training activities are designed and delivered to stimulate active training and retention of Specialized Process Equipment (SPE) in BT/BP manufacturing. This effort aims to not only enhance productivity in BT/BP manufacturing, but also to promote the overall competency in industrial manufacturing, especially among BT/BP manufacturing companies. As witnessed during the COVID situation, there is an imminent need to revamp existing BT/BP training practices to meet high demand, whilst meeting the strict quality standards. The learning and results from this training can serve in improving existing training procedures. The interactive virtual training actively engages trainees to explore the connections between actions and outcomes, build schemas, and develop detailed, accurate mental models of SPE manufacturing operations. The photorealistic digital twin provides a realistic look and feel of an equipment (otherwise not frequently accessible) and perform operational procedures and simulations. The resulting VR training framework directly and indirectly help avoid and/or minimize shop-floor mistakes and will mitigate supply chain and manufacturing delays. The results of the usability analysis included within the evaluation instruments also demonstrated that the UI/HCI (User Interface /Human-computer Interaction) features of the virtual training framework facilitated in engaging the participants effectively. The comprehensive quantitative and qualitative evaluation and analysis demonstrate that the virtual simulation in this study offers visual spatial perception feedback cues to develop motor skills for procedural knowledge and memory.","","979-8-3315-8659-1","10.1109/ICVARS66454.2025.11198712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11198712","Human Computer Interaction;Multimodal Virtual Reality;Computer Graphics;Virtual Training;User Interaction","Training;Human computer interaction;Visualization;Protocols;Manufacturing processes;Supply chains;Motors;Regulation;Manufacturing;Usability","","","","23","IEEE","17 Oct 2025","25-27 July 2025","25-27 July 2025","IEEE","IEEE Conferences"
"Disaster Management and Profile Modelling of IoT Objects: Conceptual Parameters for Interlinked Objects in Relation to Social Network Analysis","A. Zelenkauskaite; N. Bessis; S. Sotiriadis; E. Asimakopoulou","Department of Telecommunications, Indiana University, Bloomington, USA; Distributed and Intelligent Systems Research Group, University of Derby, Derby, UK; Distributed and Intelligent Systems Research Group, University of Derby, Derby, UK; Distributed and Intelligent Systems Research Group, University of Derby, Derby, UK",2012 Fourth International Conference on Intelligent Networking and Collaborative Systems,"25 Oct 2012","2012","","","509","514","In recent years, the emergence of ubiquitous and pervasive computing suggests the radical transformation of the Internet to incorporate physical objects. The transformation suggests the enabling of a new form of communication and interaction style that incorporates people, their smart devices and their physical objects through the utilization of distributed sensors spread in the environment. In this study, we propose extending Internet of Things (IoT) by modelling an IoT enabled smart environment as a whole, representing the dynamic communication and interaction among all objects (users, devices, physical objects and sensors). This is by recognizing and categorizing objects' properties in the form of a generic profile. We also reflect this in a disaster management context. That is by identifying which of the parameters of these smart objects are fixed, constant and persistent over time and which parameters are actually change over time, i.e. those characterized by their transient and dynamic nature. Thus, through the process of communication and interaction of the objects, we analyze parameters by demonstrating their static and/or dynamic properties as well as those supporting context-aware variables which are evident in disaster scenarios. To achieve these goals, we designed the persistent or temporal relationships to encompass internal information of smart-objects, along with their characteristics that actually depict their capacity to offer services to users by properties' matchmaking. The interlinked relationships represent a 'social network' providing a terrain of flexible scenarios that would lead to tailored parameters to fit user preferences. To enable communication among them in a dynamic dimension we utilized a distributed topology in which communication could occur indirectly between objects. Finally, we detailed a generic - but equally applicable for disaster management - case scenario in which we used graph theory to demonstrate how embedded intelligence to real-life objects will be able to assist the smart-resource pairing, thus improving resource discovery and harvesting process by taking into consideration user needs and preferences.","","978-1-4673-2281-2","10.1109/iNCoS.2012.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337972","Internet of things;Social network analysis;Interlinked objects;Resource discovery;Graphs;Disaster management","Social network services;Context;Organizations;Disaster management;Sensors;Object recognition;Internet","","10","","14","IEEE","25 Oct 2012","19-21 Sept. 2012","19-21 Sept. 2012","IEEE","IEEE Conferences"
"AI Space Cortex: An Experimental System for Future Era Space Exploration","T. Touma; E. Daş; E. Tevere; M. Feather; K. Kolcio; M. Prather; A. Candela; A. Goel; E. Kramer; H. Nayar; L. Fesq; J. W. Burdick","Department of Mechanical and Civil Engineering, California Institute of Technology, Pasadena, CA, USA; Department of Mechanical and Civil Engineering, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Okean Solutions, Inc., Seattle, WA, USA; Okean Solutions, Inc., Seattle, WA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Department of Mechanical and Aerospace Engineering, University of California at Los Angeles, Los Angeles, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Department of Mechanical and Civil Engineering, California Institute of Technology, Pasadena, CA, USA",IEEE Transactions on Field Robotics,"22 Aug 2025","2025","2","","601","625","Our Robust, Explainable Autonomy for Scientific Icy Moon Operations (REASIMO) effort contributes to National Aeronautics and Space Administration’s (NASA) Concepts for Ocean worlds Life Detection Technology (COLDTech) program, which explores science platform technologies for ocean worlds such as Europa and Enceladus. Ocean world missions pose significant operational challenges. These include long communication lags, limited power, and lifetime limitations caused by radiation damage and hostile conditions. Given these operational limitations, onboard autonomy will be vital for future ocean world missions. Besides the management of nominal lander operations, onboard autonomy must react appropriately in the event of anomalies. Traditional spacecraft rely on a transition into “safe-mode” in which nonessential components and subsystems are powered off to preserve safety and maintain communication with Earth. For a severely time-limited ocean world mission, resolutions to these anomalies that can be executed without Earth-in-the-loop communication and associated delays are paramount for completion of the mission objectives and science goals. To address these challenges, the REASIMO effort aims to demonstrate a robust level of AI-assisted autonomy for such missions, including the ability to detect and recover from anomalies, and to perform missions based on pretrained behaviors rather than hard-coded, predetermined logic like all prior space missions. We developed an AI-assisted, personality-driven, intelligent framework for control of an Ocean world mission by combining a mix of advanced technologies. To demonstrate the capabilities of the framework, we perform tests of autonomous sampling operations on a lander-manipulator testbed at the NASA Jet Propulsion Laboratory (JPL), approximating possible surface conditions such a mission might encounter. This article presents the architecture and encapsulated functionality of our intelligent mission control framework, AI Space Cortex, and reports results from deployment of this technology on a flight-relevant testbed to demonstrate its handling of the challenges of autonomous sampling operations across changing system conditions.","2997-1101","","10.1109/TFR.2025.3588433","National Aeronautics and Space Administration (NASA)(grant numbers:80NSSC21K1032); Jet Propulsion Laboratory, California Institute of Technology, through NASA(grant numbers:80NM0018D0004); Planetary Exploration Science Technology Office (PESTO) Concepts for Ocean worlds Life Detection Technology (COLDTech) Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11078376","Fault detection;icy moon operations;kinematic calibration;large language models (LLMs);planetary robotics;segmentation;space exploration;vision foundation models","Artificial intelligence;Space vehicles;Earth;NASA;Hardware;Training;Space missions;Moon;Foundation models;Fault detection;Robot kinematics;Mobile robots;Space exploration;Large language models","","","","40","IEEE","11 Jul 2025","2025","","IEEE","IEEE Journals"
"Prema: A Tool for Precise Requirements Editing, Modeling and Analysis","Y. Huang; J. Feng; H. Zheng; J. Zhu; S. Wang; S. Jiang; W. Miao; G. Pu","Shanghai Key Lab of Trustworthy Computing, East China Normal University, China; Shanghai Key Lab of Trustworthy Computing, East China Normal University, China; Shanghai Key Lab of Trustworthy Computing, East China Normal University, China; Shanghai Key Lab of Trustworthy Computing, East China Normal University, China; Shanghai Key Lab of Trustworthy Computing, East China Normal University, China; Eastern Michigan University, USA; Shanghai Institute of Intelligent Science and Technology, Tongji University, China; Shanghai Trusted Industrial Control Platform Co., Ltd, China",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),"9 Jan 2020","2019","","","1166","1169","We present Prema, a tool for Precise Requirement Editing, Modeling and Analysis. It can be used in various fields for describing precise requirements using formal notations and performing rigorous analysis. By parsing the requirements written in formal modeling language, Prema is able to get a model which aptly depicts the requirements. It also provides different rigorous verification and validation techniques to check whether the requirements meet users' expectation and find potential errors. We show that our tool can provide a unified environment for writing and verifying requirements without using tools that are not well inter-related. For experimental demonstration, we use the requirements of the automatic train protection (ATP) system of CASCO signal co. LTD., the largest railway signal control system manufacturer of China. The code of the tool cannot be released here because the project is commercially confidential. However, a demonstration video of the tool is available at https://youtu.be/BX0yv8pRMWs.","2643-1572","978-1-7281-2508-4","10.1109/ASE.2019.00128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952250","formal methods;requirements modeling;requirements verification;formal engineering methods","Tools;Formal languages;Computational modeling;Companies;Natural languages;Software;Syntactics","","4","","18","IEEE","9 Jan 2020","11-15 Nov. 2019","11-15 Nov. 2019","IEEE","IEEE Conferences"
"AnyBipe: An Automated End-to-End Framework for Training and Deploying Bipedal Robots Powered by Large Language Models","Y. Yao; W. He; C. Gu; J. Du; F. Tan; Z. Zhu; J. -G. Lu","Department of Automation, Shanghai Jiao Tong University, Shanghai, China; University of Michigan-Shanghai Jiao Tong University Joint Institute, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","14790","14797","Training and deploying reinforcement learning (RL) policies for robots is a complex task, requiring careful design of reward functions, sim-to-real transfer, and performance evaluation across various robot configurations. These tasks traditionally demand significant human expertise and effort. To address these challenges, this paper introduces Anybipe, a novel, fully automated, end-to-end framework for training and deploying bipedal robots, leveraging large language models (LLMs) for reward function generation, while supervising model training, evaluation, and deployment. The framework integrates comprehensive quantitative metrics to assess policy performance, deployment effectiveness, and safety. Additionally, it allows users to incorporate prior knowledge and preferences, improving the accuracy and alignment of generated policies with expectations. We demonstrate how Anybipe reduces human labor while maintaining high levels of accuracy and safety, examined on three different bipedal robots, showcasing its potential for autonomous RL training and deployment.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246492","","Training;Visualization;Accuracy;Large language models;Refining;Reinforcement learning;Safety;State estimation;Robots;Testing","","","","43","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
